141,2:04:51,Sisay Lemma,ETH,12.12.90,3,Tokyo,01.03.2020
141,2:04:51,Daniel do Nascimento,BRA,28.07.98,3,Seoul,17.04.2022
144,2:04:52,Feyisa Lelisa,ETH,01.02.90,2,Chicago,07.10.2012
144,2:04:52,Endeshaw Negesse,ETH,18.03.88,4,Dubai,25.01.2013
144,2:04:52,Kenneth Kipkemoi,KEN,02.08.84,1,Eindhoven,08.10.2023
147,2:04:53,Haile Gebrselassie,ETH,18.04.73,1,Dubai,18.01.2008
147,2:04:53a,Gebre-egziabher Gebremariam,ETH,10.09.84,3,Boston,18.04.2011
147,2:04:53,Bernard Koech,KEN,31.01.88,5,Dubai,25.01.2013
147,2:04:53,Mathew Kisorio,KEN,16.05.89,3,Valencia,02.12.2018
147,2:04:53,Deso Gelmisa,ETH,14.12.97,6,Valencia,06.12.2020
147,2:04:53,Abayneh Degu,ETH,01.12.98,5,Paris,17.10.2021
153,2:04:54,Markos Geneti,ETH,30.05.84,3,Dubai,27.01.2012
153,2:04:54,Titus Kibiego,KEN,03.05.96,2,Amsterdam,16.10.2022
155,2:04:55,Paul Tergat,KEN,17.06.69,1,Berlin,28.09.2003
155,2:04:55,Geoffrey Mutai,KEN,07.10.81,2,Rotterdam,11.04.2010
155,2:04:55,Stanley Biwott,KEN,21.04.86,2,London,13.04.2014
155,2:04:55,Gabriel Gerald Geay,TAN,10.09.96,6,Milano,16.05.2021
159,2:04:56,Sammy Korir,KEN,12.12.71,2,Berlin,28.09.2003
159,2:04:56,Jonathan Maiyo,KEN,05.05.88,4,Dubai,27.01.2012
159,2:04:56,Kengo Suzuki,JPN,11.06.95,1,Otsu,28.02.2021
159,2:04:56,Abdi Nageeye,NED,02.03.89,1,Rotterdam,10.04.2022
159,2:04:56,Leul Gebrselassie,ETH,20.09.93,2,Rotterdam,10.04.2022
159,2:04:56,Deso Gelmisa,ETH,14.12.97,6,Valencia,04.12.2022
159,2:04:56,Philemon Kiplimo,KEN,10.10.98,8,Berlin,24.09.2023
166,2:04:57,Wilson Kipsang Kiprotich,KEN,15.03.82,1,Frankfurt,31.10.2010
166,2:04:57,Bazezew Asmare,ETH,11.09.96,3,Amsterdam,16.10.2022
168,2:04:58a,Ryan Hall,USA,14.10.82,4,Boston,18.04.2011
168,2:04:58,Sisay Lemma,ETH,12.12.90,1,Ljubljana,28.10.2018
168,2:04:58,Amanal Petros,GER,17.05.95,9,Berlin,24.09.2023
171,2:04:59,Gadissa Berhanu Shume,ETH,15.09.92,1,Sevilla,19.02.2023
171,2:04:59,Tamirat Tola,ETH,11.08.91,3,London,23.04.2023
173,2:05:00,Eliud Kipchoge,KEN,05.11.84,1,Rotterdam,13.04.2014
173,2:05:00,Evans Chebet,KEN,05.03.88,1,Buenos Aires,22.09.2019
173,2:05:00,Philemon Rono,KEN,08.02.91,1,Toronto,20.10.2019
176,2:05:01,Shura Kitata Tola,ETH,09.06.96,4,London,28.04.2019
176,2:05:01,Nicholas Kirwa,KEN,16.06.94,7,Milano,16.05.2021
176,2:05:01,John Kipkosgei,KEN,02.12.96,3,Chicago,09.10.2022
179,2:05:02,Emmanuel Saina,KEN,06.09.92,4,Dubai,25.01.2019
180,2:05:03,Moses Mosop,KEN,17.07.85,3,Rotterdam,15.04.2012
181,2:05:04,Abel Kirui,KEN,04.06.82,3,Rotterdam,05.04.2009
181,2:05:04,Kenenisa Bekele,ETH,13.06.82,1,Paris,06.04.2014
181,2:05:04,Abraham Kiptoo,KEN,16.07.99,4,Amsterdam,16.10.2022
184,2:05:05,Barnabas Kiptum,KEN,08.10.86,2,Sevilla,23.02.2020
184,2:05:05,Abel Kirui,KEN,04.06.82,7,Valencia,06.12.2020
184,2:05:05,Huseyidin Mohamed,ETH,11.09.00,5,Amsterdam,16.10.2022
184,2:05:05,Boniface Kimuti,KEN,12.08.95,10,Berlin,24.09.2023
188,2:05:06,Geoffrey Mutai,KEN,07.10.81,1,New York City,06.11.2011
188,2:05:06,Marius Kimutai,BRN,10.12.92,1,Barcelona,19.03.2023
190,2:05:07,Deso Gelmisa,ETH,14.12.97,1,Paris,03.04.2022
190,2:05:07,Werkinah Tedese,ETH,13.12.00,3,Hamburg,24.04.2022
192,2:05:08,Patrick Makau,KEN,02.03.85,1,Berlin,26.09.2010
192,2:05:08,Samuel Nyamae,KEN,07.02.93,1,Wien,23.04.2023
194,2:05:09,Lawrence Cherono,KEN,07.08.88,1,Amsterdam,15.10.2017
194,2:05:09,Vincent Toroitich,KEN,03.08.90,1,Amsterdam,20.10.2019
194,2:05:09,Lemi Berhanu,ETH,13.09.94,2,Toronto,20.10.2019
194,2:05:09,Morris Munene,KEN,07.04.95,6,Paris,17.10.2021
194,2:05:09,Victor Kiplangat,UGA,19.11.99,4,Hamburg,24.04.2022
194,2:05:09,Alexander Mutiso,KEN,10.09.96,1,Praha,07.05.2023
194,2:05:09,John Kipkosgei,KEN,02.12.96,4,Chicago,08.10.2023
201,2:05:10,Samuel Wanjiru,KEN,10.11.86,1,London,26.04.2009
201,2:05:10,Geoffrey Mutai,KEN,07.10.81,2,Berlin,26.09.2010
201,2:05:10,Tadesse Tola,ETH,31.10.87,5,Dubai,27.01.2012
201,2:05:10,Seifu Tura,ETH,17.06.97,2,Paris,03.04.2022
201,2:05:10,Tadesse Abraham,SUI,12.08.82,11,Berlin,24.09.2023
206,2:05:11,Mohamed Farah,GBR,23.03.83,1,Chicago,07.10.2018
206,2:05:11,Tsegaye Getachew,ETH,30.11.96,7,Paris,17.10.2021
